slug,first_time,cur_month,index,comments,amounts
beaconny-net,,NaT,0,0.0,0.0
beaconny-net,,NaT,1,0.0,0.0
beaconny-net,,NaT,2,0.0,0.0
beaconny-net,,NaT,3,0.0,0.0
beaconny-net,,NaT,4,0.0,0.0
beaconny-net,,NaT,5,0.0,0.0
beaconny-net,,NaT,6,0.0,0.0
beawitcht,,NaT,0,0.0,0.0
beawitcht,2023-02-18,2023-03,1,0.0,1.0
beawitcht,,NaT,2,0.0,0.0
beawitcht,,NaT,3,0.0,0.0
beawitcht,,NaT,4,0.0,0.0
beawitcht,,NaT,5,0.0,0.0
beawitcht,,NaT,6,0.0,0.0
beercss,,NaT,0,0.0,0.0
beercss,,NaT,1,0.0,0.0
beercss,,NaT,2,0.0,0.0
beercss,,NaT,3,0.0,0.0
beercss,,NaT,4,0.0,0.0
beercss,2022-06-08,2022-11,5,35.0,1.0
beercss,,NaT,6,0.0,0.0
bevry,,NaT,0,0.0,0.0
bevry,,NaT,1,0.0,0.0
bevry,,NaT,2,0.0,0.0
bevry,,NaT,3,0.0,0.0
bevry,2012-05-02,2012-09,4,0.0,1.0
bevry,,NaT,5,0.0,0.0
bevry,2012-05-02,2012-11,6,0.0,1.0
duerrsimon,,NaT,0,0.0,0.0
duerrsimon,2023-11-02,2023-12,1,0.0,1.0
duerrsimon,,NaT,2,0.0,0.0
duerrsimon,2023-11-02,2024-02,3,0.0,1.0
duerrsimon,2023-11-02,2024-03,4,12.0,9.0
duerrsimon,,NaT,5,0.0,0.0
duerrsimon,,NaT,6,0.0,0.0
BioJulia,,NaT,0,0.0,0.0
BioJulia,,NaT,1,0.0,0.0
BioJulia,,NaT,2,0.0,0.0
BioJulia,,NaT,3,0.0,0.0
BioJulia,2014-05-06,2014-09,4,0.0,1.0
BioJulia,,NaT,5,0.0,0.0
BioJulia,,NaT,6,0.0,0.0
Bioprotocols,,NaT,0,0.0,0.0
Bioprotocols,,NaT,1,0.0,0.0
Bioprotocols,,NaT,2,0.0,0.0
Bioprotocols,,NaT,3,0.0,0.0
Bioprotocols,,NaT,4,0.0,0.0
Bioprotocols,2021-06-21,2021-11,5,21.0,3.0
Bioprotocols,,NaT,6,0.0,0.0
BirthdayResearch,,NaT,0,0.0,0.0
BirthdayResearch,,NaT,1,0.0,0.0
BirthdayResearch,,NaT,2,0.0,0.0
BirthdayResearch,,NaT,3,0.0,0.0
BirthdayResearch,2022-05-02,2022-09,4,1.0,2.0
BirthdayResearch,,NaT,5,0.0,0.0
BirthdayResearch,,NaT,6,0.0,0.0
meteor,,NaT,0,0.0,0.0
meteor,,NaT,1,0.0,0.0
meteor,2019-03-06,2019-05,2,10.0,1.0
meteor,2019-03-06,2019-06,3,12.0,1.0
meteor,,NaT,4,0.0,0.0
meteor,,NaT,5,0.0,0.0
meteor,,NaT,6,0.0,0.0
Megabit,2024-11-20,2024-11,0,7.0,16.0
Megabit,,NaT,1,0.0,0.0
Megabit,,NaT,2,0.0,0.0
Megabit,,NaT,3,0.0,0.0
Megabit,,NaT,4,0.0,0.0
Megabit,,NaT,5,0.0,0.0
Megabit,,NaT,6,0.0,0.0
BlissRoms-x86,,NaT,0,0.0,0.0
BlissRoms-x86,,NaT,1,0.0,0.0
BlissRoms-x86,,NaT,2,0.0,0.0
BlissRoms-x86,,NaT,3,0.0,0.0
BlissRoms-x86,,NaT,4,0.0,0.0
BlissRoms-x86,,NaT,5,0.0,0.0
BlissRoms-x86,2017-07-28,2018-01,6,0.0,1.0
blitz-js,,NaT,0,0.0,0.0
blitz-js,,NaT,1,0.0,0.0
blitz-js,,NaT,2,0.0,0.0
blitz-js,,NaT,3,0.0,0.0
blitz-js,2020-05-03,2020-09,4,10.0,2.0
blitz-js,,NaT,5,0.0,0.0
blitz-js,,NaT,6,0.0,0.0
Bloc,,NaT,0,0.0,0.0
Bloc,,NaT,1,0.0,0.0
Bloc,,NaT,2,0.0,0.0
Bloc,,NaT,3,0.0,0.0
Bloc,,NaT,4,0.0,0.0
Bloc,,NaT,5,0.0,0.0
Bloc,,NaT,6,0.0,0.0
znarf,,NaT,0,0.0,0.0
znarf,,NaT,1,0.0,0.0
znarf,,NaT,2,0.0,0.0
znarf,2023-04-04,2023-07,3,0.0,1.0
znarf,,NaT,4,0.0,0.0
znarf,,NaT,5,0.0,0.0
znarf,,NaT,6,0.0,0.0
