slug,first_time,cur_month,index,comments,amounts,commits_count,releases_count,pulls_count,discussions_count,Intervention,Time_after_intervention,commits_count_log,commits_count_scaled,releases_count_log,releases_count_scaled,pulls_count_log,pulls_count_scaled,discussions_count_log,discussions_count_scaled,amounts_log,amounts_scaled
cp-algorithms,2024/7/19,Aug-24,1,5,1,0,0,0,0,1,1,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,0.4054651081081644,0.8884556874344152
cp-algorithms,2024/7/19,Sep-24,2,7,4,0,0,0,0,1,2,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,1.504077396776274,2.2892680134029746
cp-algorithms,2024/7/19,Oct-24,3,54,15,4,0,7,0,1,3,1.504077396776274,1.297416996214541,-0.6931471805599453,-0.2410158568991481,2.0149030205422647,8.788566973323512,-0.6931471805599453,-0.1348042769849996,2.740840023925201,3.866232289405948
cp-algorithms,2024/7/19,Nov-24,4,8,3,5,0,2,0,1,4,1.7047480922384253,1.463106554281106,-0.6931471805599453,-0.2410158568991481,0.916290731874155,5.150091102881272,-0.6931471805599453,-0.1348042769849996,1.252762968495368,1.9688234375859397
cp-algorithms,2024/7/19,Dec-24,5,0,0,11,0,0,0,1,5,2.4423470353692043,2.072126434519448,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cp-algorithms,2024/7/19,Jan-25,6,2,5,10,0,0,0,1,6,2.3513752571634776,1.997012957224108,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,1.7047480922384253,2.545138065616623
cpeditor,2020/1/19,Jul-19,-6,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cpeditor,2020/1/19,Aug-19,-5,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cpeditor,2020/1/19,Sep-19,-4,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cpeditor,2020/1/19,Oct-19,-3,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cpeditor,2020/1/19,Nov-19,-2,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cpeditor,2020/1/19,Dec-19,-1,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cpeditor,2020/1/19,Jan-20,0,11,1,0,0,0,0,1,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,0.4054651081081644,0.8884556874344152
cpeditor,2020/1/19,Feb-20,1,0,2,4,0,0,1,1,1,1.504077396776274,1.297416996214541,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,0.4054651081081644,4.46124894472219,0.916290731874155,1.5397963265050851
cpeditor,2020/1/19,Mar-20,2,4,1,11,0,0,0,1,2,2.4423470353692043,2.072126434519448,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,0.4054651081081644,0.8884556874344152
cpeditor,2020/1/19,Apr-20,3,0,0,17,0,0,0,1,3,2.862200880929468,2.418790893738152,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cpeditor,2020/1/19,May-20,4,0,0,15,2,0,0,1,4,2.740840023925201,2.3185857954436218,0.916290731874155,3.419031496982084,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cpeditor,2020/1/19,Jun-20,5,0,0,16,4,0,0,1,5,2.803360380906535,2.370207534704275,1.504077396776274,4.755726134843588,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
cpeditor,2020/1/19,Jul-20,6,0,1,3,5,0,1,1,6,1.252762968495368,1.0899119768009389,1.7047480922384253,5.212074430266154,-0.6931471805599453,-0.1801797030877188,0.4054651081081644,4.46124894472219,0.4054651081081644,0.8884556874344152
crewdevio,2020/7/10,Jan-20,-6,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
crewdevio,2020/7/10,Feb-20,-5,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
crewdevio,2020/7/10,Mar-20,-4,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
crewdevio,2020/7/10,Apr-20,-3,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
crewdevio,2020/7/10,May-20,-2,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
