slug,first_time,cur_month,index,comments,amounts
arborchat,2018-10-27,2019-02,4,0.0,1.0
arborchat,2018-10-27,2019-03,5,0.0,0.0
arborchat,2018-10-27,2019-04,6,0.0,0.0
archaeo-social,2022-11-14,2022-11,0,0.0,1.0
archaeo-social,2022-11-14,2022-12,1,0.0,0.0
archaeo-social,2022-11-14,2023-01,2,0.0,0.0
archaeo-social,2022-11-14,2023-02,3,0.0,1.0
archaeo-social,2022-11-14,2023-03,4,0.0,0.0
archaeo-social,2022-11-14,2023-04,5,0.0,0.0
archaeo-social,2022-11-14,2023-05,6,0.0,0.0
arkmanager,2022-04-09,2022-04,0,14.0,4.0
arkmanager,2022-04-09,2022-05,1,23.0,3.0
arkmanager,2022-04-09,2022-06,2,0.0,0.0
arkmanager,2022-04-09,2022-07,3,4.0,1.0
arkmanager,2022-04-09,2022-08,4,5.0,1.0
arkmanager,2022-04-09,2022-09,5,0.0,0.0
arkmanager,2022-04-09,2022-10,6,7.0,1.0
webarkit,2021-10-11,2021-10,0,4.0,3.0
webarkit,2021-10-11,2021-11,1,3.0,1.0
webarkit,2021-10-11,2021-12,2,0.0,0.0
webarkit,2021-10-11,2022-01,3,20.0,2.0
webarkit,2021-10-11,2022-02,4,0.0,0.0
webarkit,2021-10-11,2022-03,5,10.0,4.0
webarkit,2021-10-11,2022-04,6,0.0,0.0
arrow-py,2022-09-29,2022-09,0,3.0,1.0
arrow-py,2022-09-29,2022-10,1,7.0,4.0
arrow-py,2022-09-29,2022-11,2,8.0,4.0
arrow-py,2022-09-29,2022-12,3,0.0,1.0
arrow-py,2022-09-29,2023-01,4,1.0,1.0
arrow-py,2022-09-29,2023-02,5,0.0,0.0
arrow-py,2022-09-29,2023-03,6,5.0,1.0
katharostech,2018-09-02,2018-09,0,7.0,2.0
katharostech,2018-09-02,2018-10,1,0.0,0.0
katharostech,2018-09-02,2018-11,2,2.0,1.0
katharostech,2018-09-02,2018-12,3,0.0,0.0
katharostech,2018-09-02,2019-01,4,0.0,0.0
katharostech,2018-09-02,2019-02,5,0.0,0.0
katharostech,2018-09-02,2019-03,6,0.0,0.0
ArtalkJS,2024-10-03,2024-10,0,6.0,6.0
ArtalkJS,2024-10-03,2024-11,1,4.0,8.0
ArtalkJS,2024-10-03,2024-12,2,0.0,6.0
ArtalkJS,2024-10-03,2025-01,3,0.0,10.0
ArtalkJS,2024-10-03,2025-02,4,0.0,0.0
ArtalkJS,2024-10-03,2025-03,5,0.0,0.0
ArtalkJS,2024-10-03,2025-04,6,0.0,0.0
arviz-devs,2019-05-28,2019-05,0,0.0,1.0
arviz-devs,2019-05-28,2019-06,1,0.0,0.0
arviz-devs,2019-05-28,2019-07,2,0.0,0.0
arviz-devs,2019-05-28,2019-08,3,0.0,1.0
arviz-devs,2019-05-28,2019-09,4,0.0,0.0
arviz-devs,2019-05-28,2019-10,5,0.0,0.0
arviz-devs,2019-05-28,2019-11,6,0.0,1.0
asciidocfx,2023-11-13,2023-11,0,12.0,3.0
asciidocfx,2023-11-13,2023-12,1,9.0,1.0
asciidocfx,2023-11-13,2024-01,2,0.0,1.0
asciidocfx,2023-11-13,2024-02,3,0.0,1.0
asciidocfx,2023-11-13,2024-03,4,7.0,3.0
asciidocfx,2023-11-13,2024-04,5,7.0,4.0
asciidocfx,2023-11-13,2024-05,6,11.0,5.0
ash-project,2020-06-07,2020-06,0,9.0,3.0
ash-project,2020-06-07,2020-07,1,0.0,0.0
ash-project,2020-06-07,2020-08,2,0.0,0.0
ash-project,2020-06-07,2020-09,3,0.0,0.0
ash-project,2020-06-07,2020-10,4,0.0,0.0
ash-project,2020-06-07,2020-11,5,0.0,0.0
ash-project,2020-06-07,2020-12,6,5.0,1.0
aspect-build,2021-12-21,2021-12,0,0.0,1.0
aspect-build,2021-12-21,2022-01,1,5.0,1.0
aspect-build,2021-12-21,2022-02,2,0.0,0.0
aspect-build,2021-12-21,2022-03,3,0.0,0.0
aspect-build,2021-12-21,2022-04,4,0.0,0.0
aspect-build,2021-12-21,2022-05,5,0.0,0.0
aspect-build,2021-12-21,2022-06,6,2.0,5.0
assimp,2024-11-06,2024-11,0,7.0,3.0
assimp,2024-11-06,2024-12,1,10.0,9.0
assimp,2024-11-06,2025-01,2,12.0,17.0
assimp,2024-11-06,2025-02,3,1.0,1.0
assimp,2024-11-06,2025-03,4,0.0,0.0
assimp,2024-11-06,2025-04,5,0.0,0.0
assimp,2024-11-06,2025-05,6,0.0,0.0
AsteroidOS,2017-05-30,2017-05,0,1.0,1.0
AsteroidOS,2017-05-30,2017-06,1,0.0,0.0
AsteroidOS,2017-05-30,2017-07,2,0.0,0.0
AsteroidOS,2017-05-30,2017-08,3,0.0,0.0
AsteroidOS,2017-05-30,2017-09,4,0.0,0.0
AsteroidOS,2017-05-30,2017-10,5,0.0,0.0
AsteroidOS,2017-05-30,2017-11,6,0.0,1.0
astropy,2012-11-27,2012-11,0,1.0,1.0
astropy,2012-11-27,2012-12,1,19.0,3.0
astropy,2012-11-27,2013-01,2,14.0,1.0
astropy,2012-11-27,2013-02,3,0.0,0.0
astropy,2012-11-27,2013-03,4,9.0,1.0
astropy,2012-11-27,2013-04,5,0.0,0.0
astropy,2012-11-27,2013-05,6,0.0,0.0
async-rs,2019-07-21,2019-07,0,1.0,1.0
async-rs,2019-07-21,2019-08,1,4.0,5.0
async-rs,2019-07-21,2019-09,2,4.0,4.0
async-rs,2019-07-21,2019-10,3,8.0,2.0
async-rs,2019-07-21,2019-11,4,0.0,0.0
async-rs,2019-07-21,2019-12,5,3.0,1.0
async-rs,2019-07-21,2020-01,6,0.0,0.0
atata-framework,2017-04-06,2017-04,0,1.0,1.0
atata-framework,2017-04-06,2017-05,1,0.0,0.0
atata-framework,2017-04-06,2017-06,2,0.0,0.0
atata-framework,2017-04-06,2017-07,3,0.0,0.0
atata-framework,2017-04-06,2017-08,4,0.0,0.0
atata-framework,2017-04-06,2017-09,5,0.0,0.0
atata-framework,2017-04-06,2017-10,6,0.0,0.0
keras-team,2023-04-01,2023-04,0,0.0,4.0
keras-team,2023-04-01,2023-05,1,1.0,3.0
keras-team,2023-04-01,2023-06,2,5.0,2.0
keras-team,2023-04-01,2023-07,3,1.0,3.0
keras-team,2023-04-01,2023-08,4,0.0,0.0
keras-team,2023-04-01,2023-09,5,0.0,0.0
