slug,members,updates,name,type,tags,contributionsCount,totalFinancialContributors,country,flag,tag_community,tag_open source,tag_javascript,tag_other,tag_association,type_公益型,type_技术型,type_教育型,country_DE,country_FR,country_GB,country_Other,country_US,country_Unknown,age,propensity_score
libretime,27,6,LibreTime,技术型,"open source, nonprofit, radio automation, podcast, streaming, audio, hacktoberfest",118,20,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0,0.5492266489797445
olympia-assembly,23,0,Olympia Assembly,公益型,meetup,207,18,Unknown,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6.0,0.3786878463208211
rrweb,21,0,rrweb,技术型,"open source, javascript, session replay, session recording, typescript",90,12,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2.0,0.4099432611446665
wwcodedc,43,0,WWCode Washington DC,技术型,"wwcode, meetup, diversity in tech, 501c3",127,23,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9.0,0.6112337268199143
foss-responders,60,2,FOSS Responders,公益型,"movement, covid, coronavirus, covid-19, open source",183,44,US,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5.0,0.5837923967319568
numpy,36,0,NumPy,技术型,"open source, pledged",153,24,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0,0.4953967941481441
psysciacc,27,2,PSA Financial Collective,公益型,"education, global, health, network, online, research, science",81,18,US,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3.0,0.5176155096437324
utu-a-matimati,36,2,Utu Ā Matimati,公益型,,67,15,Other,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.0,0.44070245511662737
deaconsocial,29,0,deacon.social,公益型,"mastodon, community",153,24,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0,0.47513605778088275
simplelogin,27,0,SimpleLogin,技术型,open source,111,24,FR,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5.0,0.617450085533693
