slug,name,type,tags,contributionsCount,totalFinancialContributors,country,flag,tag_community,tag_open source,tag_javascript,tag_other,tag_association,type_公益型,type_技术型,type_教育型,country_DE,country_FR,country_GB,country_Other,country_US,country_Unknown
escarpin,Escarpin,技术型,"community engagement, art, lgbtqia+, drag, burlesque, stage, visual arts, mental health and wellbeing, community building, enabling art, queer",2,2,Other,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
insurgo,Insurgo Initiative,公益型,open source,145,50,Other,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ncl4palestine,Newcastle Coalition for Palestine,公益型,"community, palestine, free palestine, collective liberation",9,8,GB,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
inftyai,InftyAI,技术型,"open source, ai, infrastructure",1,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
bitcoin-design-foundation,Bitcoin Design Foundation,技术型,"open source, bitcoin, design, community",14,10,Unknown,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
p2panda,p2panda,技术型,"p2p, offline-first, post-internet, local-first",1,1,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
equalize,Equalize,公益型,"equalize, mission possible 2030, basic income, kowiti-a, kenya",75,9,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
trust-walletp,Trust walletp,技术型,"meetup, other, association, javascript, usa, python",1,1,Unknown,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
mastodon-me-uk,Mastodon.me.uk,技术型,"mastodon, fediverse, uk",2979,246,GB,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
wwcodedf,WWCode Mexico City,技术型,"wwcode, meetup, diversity in tech",30,8,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
wwcodelondon,WWCode London,技术型,"wwcode, meetup, diversity in tech",55,5,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
fedilab,Fedilab,技术型,"open source, android, mastodon, pleroma, friendica, pixelfed",365,60,FR,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
fedify,Fedify,技术型,"open source, javascript, typescript, activitypub, fediverse",29,15,Unknown,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
aicaw-ac-huichol-health-home,AICAW A.C. Huichol Health Home,公益型,"indigenous, health, community",2,1,Other,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
leptos,Leptos,技术型,"open source, rust, web development",1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ofnusa,Open Food Network USA,公益型,,124,17,US,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
community-opera-orfeo-i-umea,Opera för alla i Umeå - Kärleken triumferar!,公益型,"arts and culture, community engagement, livemusic, sustainability, social impact, social network, community, umeatogether",5,5,Other,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ecoevosocial,ecoevo.social,公益型,"mastodon, community, science, academia, ecology&evolution",801,112,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
sdkman,SDKMAN!,技术型,"sdk, java, jvm, jdk, sdkman",1237,121,GB,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
crypto-icons-font-068-npm,Crypto Icons Font 0.6.8 Npm,技术型,"open source, crypto-icons-font-0.6.8-npm",1,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
lgsm,Lesbians and Gays Support The Migrants,公益型,"migrant justice, lgbtq, community",11,11,GB,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
xr-fnq,XR Far North Queensland ,技术型,"movement, climate, extinction rebellion",1,1,Other,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
wwcodetoronto,WWCode Toronto,技术型,"wwcode, meetup, diversity in tech",39,12,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
voca,Voca,技术型,"community, decidim, civic tech, e government, open government, govtech, participation, democracy, smart city",44,6,Other,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
dim,Destiny Item Manager,技术型,open source,28126,3136,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
phpfoundation,PHP Foundation,技术型,php,21151,1751,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
bushwick-ayuda-mutua,Bushwick Ayuda Mutua,公益型,"ayuda mutua, brooklyn, bushwick, community support, coronavirus, covid, covid-19, mutual aid, new york, newyork, north brooklyn, northbrooklyn, northeastern usa, pandemic, solidarity economy, usa",22708,2317,US,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
webpack,webpack,技术型,open source,26575,2483,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ankidroid,AnkiDroid,技术型,"open source, education, hacktoberfest",17373,6064,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
darkreader,Dark Reader,技术型,"extension, chrome, firefox, dark, theme, open source",16844,5639,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
generator-jhipster,JHipster,技术型,"angular, docker, generator, java, spring-boot, webpack, yeoman-generator, open source",11954,882,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
oxford-mutual-aid,Oxford Mutual Aid,公益型,"covid-19, covid, mutual aid",13399,1316,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
mochajs,Mocha,技术型,"open source, testing, bdd, test, javascript, node.js",11515,1037,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
11ty,Eleventy,技术型,"static site generator, markdown, html, javascript, open source",10710,687,US,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
babel,Babel,技术型,"javascript, es6, es2015, babel, compiler, open source",14373,1240,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
nest,nest,技术型,"open source, nodejs, node.js, nest, nestjs, typescript, javascript",11384,1102,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
socketio,socket.io,技术型,"open source, realtime, websocket, browser, node.js",10133,921,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
qubes-os,Qubes OS,技术型,"open source, security, virtualization, operating system",10543,879,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
jellyfin,Jellyfin,技术型,"open source, free software, jellyfin, media server",8658,1611,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1kproject,1k Project for Ukraine,公益型,"covid, social justice, ukraine, usa, wealth redistribution",1559,1217,US,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
core-js,core-js,技术型,"es2015, es2016, es2017, es6, es7, esnext, polyfill, ponyfill, proposal, shim, open source, es2018, es2019, es2020, es2021, es2022, web standards",7751,1358,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
club-a-kitchen,Club A Kitchen,公益型,"brooklyn, bushwick, club a, commons, community, covid, education, learning, mutual aid, new york, new york city, nyc, research, usa",8254,1003,US,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
flybywire,FlyByWire Simulations,技术型,"open source, flight sim, airbus, msfs",7468,2398,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
swiper,Swiper,技术型,"open source, swiper, gallery, carousel, javascript",6406,701,US,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
date-fns,date-fns,技术型,open source,7441,713,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
chicago-community-jail-support,Chicago Community Jail Support **please look at description to head to our new fiscal sponsor platform**,公益型,"chicago, community, illinois, jail support, midwestern usa, mutual aid, social justice, usa",5991,891,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
vuejs,vue,技术型,"framework, frontend, javascript, vue, open source",8753,819,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
playframework,Play Framework,技术型,"open source, scala, java",5780,595,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
nixos,The NixOS Foundation,技术型,"other, nix, nixos, purelyfunctional, nixops, nixpkgs, linux, os",11084,748,Unknown,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
obsproject,Open Broadcaster Software,技术型,"c, c-plus-plus, directshow, facebook-live, ffmpeg, game-capture, live-streaming, screen-capture, twitch-tv, video-recording, youtube-live, open source",6993,1924,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
svelte,Svelte,技术型,open source,6474,522,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
opencore-legacy-patcher,OpenCore Legacy Patcher,技术型,"open source, macos",5251,3097,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
manjaro,manjaro,技术型,"europe, manjaro, linux, open source, community, project",6407,2207,DE,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
stashapp,StashApp,技术型,hacktoberfest,5476,606,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
transaidcymru,Trans Aid Cymru,公益型,"transgender, trans, nonbinary, non binary, intersex, wales, south wales",5286,871,GB,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
radarr,Radarr,技术型,"bittorrent, couchpotato, movie, movies, nzb, torrent, usenet, open source, imdb",6354,798,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
getsolus,Solus,技术型,"operating system, linux, distribution, solus, desktop, budgie",5521,619,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
jest,Jest,技术型,"open source, framework, testing, javascript",8035,634,US,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
sonarr,Sonarr,技术型,open source,5450,1090,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
m4bl-dc-money-pot,M4BL DC Money Pot,公益型,"abolition, district of columbia, dmv, groceries, maryland, moneypot, mutual aid, mutualaid, organizing, racial justice, resource sharing, social justice, virginia. washington dc, wealth redistribution",5890,227,US,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
eslint,ESLint,技术型,"open source, linter, javascript, ecmascript",5765,512,US,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
bootstrap-vue,BootstrapVue,技术型,"bootstrap, bootstrap4, nuxt, nuxtjs, vue, webpack, open source, bootstrap-vue, vuejs, aria, accessibility",5554,636,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
mastodonworld,Mastodon.world,技术型,"mastodon, fediverse, social media, community",4606,729,Other,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
north-brooklyn-mutual-aid,North Brooklyn Mutual Aid,公益型,"brooklyn, covid, covid-19, food, mutual aid, new york, new york city, nyc, resource, usa",4683,908,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ward-2-mutual-aid,Ward 2 Mutual Aid,公益型,"covid, dc, district of columbia, groceries, health, housing, maryland, mutual aid, usa, virginia, washington dc",5261,803,US,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
streetmix,Streetmix,技术型,"open source, urban design, streets, city planning, cities, civic engagement",4997,662,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
bower,Bower,技术型,"open source, javascript",5963,501,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
rpfreestore,Rogers Park Free Store,公益型,"chicago, community, free store, illinois, midwestern usa, mutual aid, online, usa",4580,451,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
swma_nyc,Sunnyside & Woodside Mutual Aid,公益型,"mutual aid, queens, new york city, nyc, new york, usa, covid-19, food, groceries, food pantry, community pantry, pantry",4538,702,US,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
rust-analyzer,Ferrous Systems Open Source Collective for rust-analyzer,技术型,"rust, ide, compiler",5505,250,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
